A2HLOMXD15UQ5F,"{2509: 5, 291734: 5}"
A8QDWEWU0EZ4E,{2515: 5}
AZT8EE93WXLJZ,{2516: 3}
A3152KT8N27WTF,{48: 5}
AKWMVB3BIPVJD,"{111: 1, 14801: 5, 145893: 5, 217170: 5, 313762: 5}"
A3UGMJUB7DMOU9,"{123: 1, 378366: 5}"
A2YXRQ0V1AL3PT,{149: 5}
A2XEXFVPQLUBV,"{149: 5, 316068: 4}"
A26OLSBTEN0JJW,"{157: 5, 53678: 4, 58826: 5, 84520: 5, 109106: 5, 169573: 5, 190606: 4, 201055: 3, 201312: 5, 286805: 5, 324187: 4, 359955: 5, 370263: 5, 368571: 4, 378717: 4, 414120: 4, 434465: 4, 481201: 5}"
A2R3JW0CIHMPH4,"{168: 5, 188: 5, 58835: 5, 247888: 4, 381527: 5, 510559: 5}"
A1RN468AQRRUTY,"{185: 4, 12061: 5, 40060: 2, 61066: 4, 68868: 4, 116840: 5, 140283: 5, 148103: 5, 158954: 4, 190305: 5, 247823: 2, 253367: 5, 271480: 5, 276895: 5, 276953: 4, 313074: 5, 317509: 4, 342195: 5, 349933: 4, 378775: 5, 404743: 3, 423237: 4, 428712: 4, 434098: 3, 442666: 4, 444829: 4, 447206: 5, 454209: 4, 488936: 4, 521039: 5}"
A1111IG0N0V92M,{209: 5}
A7DKH67YQ1XP7,{213: 5}
A27G9LMQTMND03,"{2554: 4, 2619: 5, 13117: 5, 18376: 5, 23763: 5, 23821: 5, 31637: 5, 39637: 5, 55418: 4, 63225: 5, 65878: 5, 76424: 4, 81826: 4, 87026: 5, 92334: 5, 103093: 4, 116200: 5, 166041: 4, 179195: 4, 189676: 5, 197609: 5, 205618: 3, 210884: 4, 213507: 4, 234312: 5, 242409: 5, 260822: 4, 268310: 4, 270942: 4, 273458: 4, 275976: 4, 276140: 5, 284009: 5, 294293: 5, 294330: 5, 304720: 5, 312604: 4, 315479: 5, 317993: 4, 318055: 3, 320459: 5, 323163: 4, 323177: 5, 328429: 5, 336110: 4, 338712: 5, 349301: 5, 351937: 5, 354604: 5, 359865: 4, 367723: 4, 380870: 5, 388731: 4, 394081: 5, 407134: 3, 409705: 5, 409757: 4, 414993: 5, 431226: 5, 436159: 4, 438936: 2, 439070: 5, 443991: 5, 465112: 4, 473056: 5, 488710: 5, 488758: 4, 491394: 5, 504889: 3, 507779: 5, 512720: 5, 515287: 4, 523190: 2}"
AQ7K219573Z8P,{2556: 5}
A3GUSWRETICGSC,"{2559: 4, 51080: 4, 113497: 3, 152902: 4, 181724: 4, 194940: 2, 200271: 1, 247541: 5, 336153: 5, 338734: 5, 370233: 2, 380775: 5, 401822: 2, 462496: 2, 462532: 2, 499462: 5, 502105: 2}"
A9AVOPGTAWJ1K,"{262: 5, 271: 3, 29420: 5, 42086: 4, 141797: 4, 217105: 5, 242792: 4, 273604: 2, 280697: 4, 305509: 5, 327540: 5, 331206: 5, 355000: 5, 366015: 2, 367432: 4, 367921: 5, 405273: 4, 431189: 5, 457020: 5, 473509: 5, 481155: 5, 483885: 3, 505566: 4, 524701: 3}"
A135XHGMBR0OWF,"{263: 5, 116719: 5, 135030: 3, 192739: 5, 199005: 5, 227322: 5, 316789: 5}"
ALDY9KRXJMBRV,{268: 1}
ABCECB184EH6V,{271: 5}
A1SS6P7GSOFGPH,"{271: 4, 361008: 4, 514024: 4}"
AXMACP4MMGL35,"{271: 5, 51767: 5}"
A3EBNW8FT4NJ45,{271: 3}
A3M6IJB9R13BYT,"{277: 5, 250680: 1, 326149: 5, 439098: 5}"
A1MS4IF3RA6XP1,{2569: 5}
AI33DKY7QXDQO,"{312: 5, 415598: 5}"
A3JKNUG6HUAL40,{2570: 3}
A7VUVW5UQEHKT,"{341: 5, 190581: 4}"
A3R3QZLPS6LRTW,{2574: 5}
A3F4UOS6I1S9O7,{2574: 5}
A36P8HQHWL9HNI,{349: 5}
A3I405VT162Q5B,"{353: 3, 161781: 2}"
A2VJBKWSQXBLG3,{360: 5}
A1DT7XD04G4YI2,"{365: 5, 113377: 5, 396135: 5, 423063: 5}"
A1IGDSM9RLRHGG,"{385: 1, 199612: 4, 259199: 4, 482544: 2, 510659: 5}"
