A3152KT8N27WTF,{98: 5}
AKWMVB3BIPVJD,"{714: 1, 13636: 5, 128745: 5, 191659: 5, 278318: 5}"
A3UGMJUB7DMOU9,"{1883: 1, 335228: 5}"
A2XEXFVPQLUBV,"{103: 5, 279844: 4}"
A2YXRQ0V1AL3PT,{103: 5}
A26OLSBTEN0JJW,"{85: 5, 47167: 4, 51545: 5, 97081: 5, 149612: 5, 168387: 4, 177720: 3, 177582: 5, 254102: 5, 286706: 4, 326170: 4, 335403: 4, 365451: 4, 384152: 4, 426207: 5}"
A2R3JW0CIHMPH4,"{699: 5, 1447: 5, 51742: 5, 219762: 4, 337971: 5, 452145: 5}"
A1RN468AQRRUTY,"{25: 4, 9716: 5, 35274: 2, 54523: 4, 61090: 4, 103797: 5, 124386: 5, 131095: 5, 140655: 4, 168565: 5, 219460: 2, 224583: 5, 240851: 5, 244624: 5, 244651: 4, 277357: 5, 279585: 4, 302859: 5, 309799: 4, 335532: 5, 359473: 3, 375059: 4, 379498: 4, 384325: 3, 391661: 4, 393609: 4, 396007: 5, 401513: 4, 433579: 4, 461789: 5}"
A1111IG0N0V92M,{1536: 5}
A7DKH67YQ1XP7,{41: 5}
A9AVOPGTAWJ1K,"{35: 5, 29: 3, 25786: 5, 36450: 4, 124148: 4, 191641: 5, 214873: 4, 242605: 2, 248186: 4, 270115: 5, 288615: 5, 293266: 5, 315015: 5, 324071: 2, 323935: 4, 325801: 5, 358530: 4, 381770: 5, 403066: 5, 419203: 5, 426173: 5, 428599: 3, 447498: 4, 463710: 3}"
A135XHGMBR0OWF,"{368: 5, 103114: 5, 119437: 3, 171426: 5, 175281: 5, 200824: 5, 279503: 5}"
ALDY9KRXJMBRV,{60: 1}
A1SS6P7GSOFGPH,"{29: 4, 318848: 4, 455054: 4}"
ABCECB184EH6V,{29: 5}
A3EBNW8FT4NJ45,{29: 3}
AXMACP4MMGL35,"{29: 5, 44537: 5}"
A3M6IJB9R13BYT,"{506: 5, 221801: 1, 289644: 5, 389049: 5}"
AI33DKY7QXDQO,"{12: 5, 367800: 5}"
A7VUVW5UQEHKT,"{45: 5, 168148: 4}"
A36P8HQHWL9HNI,{18: 5}
A3I405VT162Q5B,"{292: 3, 143778: 2}"
A2VJBKWSQXBLG3,{40: 5}
A1DT7XD04G4YI2,"{856: 5, 99403: 5, 349265: 5, 374843: 5}"
A1IGDSM9RLRHGG,"{1032: 1, 175158: 4, 228631: 4, 426149: 2, 452379: 5}"
A3BBCDCHC5U1VK,"{823: 2, 17423: 3, 18931: 4, 23902: 4, 89149: 5, 98613: 3, 115165: 4, 124669: 4, 133772: 3, 187423: 4, 207740: 4, 210556: 2, 224604: 2, 230945: 5, 233316: 3, 235634: 5, 247131: 4, 256849: 5, 268216: 4, 267930: 4, 272657: 5, 278000: 5, 290993: 5, 295526: 4, 297970: 3, 316670: 3, 332888: 5, 339871: 5, 367890: 3, 388986: 4, 397661: 4, 423739: 4}"
A35A6Q3B2QTTDU,"{17: 4, 32941: 5, 233278: 5, 426961: 5}"
A3M1NAYJGSXAK,"{220: 1, 419368: 1}"
A11VLAOHLM7T7R,"{220: 4, 284222: 5, 314163: 5}"
ADNVX1NVCF3J8,"{139: 5, 421533: 4}"
A10KFV763ZTT0T,"{139: 5, 39997: 5, 124227: 5, 131270: 5, 149926: 5, 156669: 4, 272421: 5, 321218: 4, 325866: 4, 330580: 5, 335213: 4, 391268: 5, 403101: 5, 419284: 5, 419203: 5, 454381: 5, 461289: 5}"
A1SW7P73Z8BUUJ,"{135: 5, 70291: 5, 96158: 4, 189269: 5, 193772: 5, 281791: 3, 288704: 5, 303004: 4}"
AH65J3T86URKP,{170: 5}
A3NFD14CCJP999,"{668: 2, 46897: 5}"
A347YYQI2YXNK2,"{668: 5, 53703: 4, 147445: 4, 347007: 4}"
A22M0MSO4NU1UP,"{251: 5, 163580: 4, 254366: 5, 258723: 5, 314264: 2, 337515: 4, 349737: 3}"
A6P6IKVPOKZYM,"{52: 1, 30829: 1, 82478: 5, 86760: 5, 189519: 4}"
A23NPHO7PI3U09,{476: 1}
AXH44VIP5BBGI,"{495: 5, 154244: 2}"
A2MEI9VQDW8T2M,"{404: 5, 108119: 5, 249368: 4, 328276: 1, 360872: 5, 372385: 5}"
A6EVOUGH5HPW2,"{1722: 5, 105592: 5}"
A1GT3T0ZCJ172T,"{22: 5, 179932: 5}"
A2AK92OV7QLUGP,"{22: 5, 54430: 4, 67883: 4, 70588: 5, 140428: 5, 158849: 4, 186960: 4, 212681: 5, 222054: 5, 240383: 4, 254077: 4, 254172: 5, 353809: 4, 428477: 5, 447362: 5}"
AY585CQU0LKHF,"{268: 5, 461327: 1}"
A28QPZ6QXANQ0S,{451: 5}
AF3SHIJQ7OC5I,{69: 3}
AIV7KW542Y5GS,{353: 1}
A2HC5J58W6VSWQ,{118: 5}
A1GL7EI046DBAG,"{539: 3, 16485: 3, 40767: 4, 174608: 4, 316949: 4, 419302: 2, 434298: 4}"
AYBZM0W0RFWB,{107: 4}
ANO26R0XO8S9Z,{107: 5}
AI1QC8PSEEJ7A,{107: 5}
A3Q2H0SNKR1N9,"{107: 5, 18849: 5, 154315: 4, 461274: 2}"
A3B50JJFROYNOZ,"{228: 5, 310258: 5, 459378: 4}"
A25IZQ3PTJYLMR,"{298: 2, 426528: 5}"
AWCO1MAELHKSE,"{298: 5, 19071: 3, 121720: 3, 168358: 5, 219689: 4, 238179: 4, 270210: 5, 272495: 5, 391295: 4}"
A2U3JZCS7Q78D7,{120: 1}
A1QKLAJP3S42ZQ,"{252: 5, 11965: 5, 138076: 5, 426879: 5}"
ANU2CCQLJL2Z3,{8: 2}
A14F0LMRJBESKO,"{8: 5, 189306: 5}"
A146341JYZ86CY,"{300: 1, 114851: 5, 210139: 5, 238104: 5, 412575: 5}"
A2067BMGW21UYX,"{195: 5, 47315: 4, 85140: 4, 335532: 5}"
A6WD0ZUPSVRG8,{278: 4}
AMDVAQ7I7BEUY,{291: 5}
A1FV9E94AS7B13,"{2060: 1, 7474: 4, 27027: 2, 77126: 5, 147476: 1, 284017: 1, 304780: 1, 358597: 1}"
A11HLGBVKSPXYP,{184: 5}
ANUZBFZ47HWST,"{764: 5, 67915: 4, 91509: 5, 112519: 4, 254116: 4, 270511: 4, 284479: 4, 293515: 4, 356247: 3, 374698: 4, 377173: 5, 388855: 4}"
A7WZ9X6N9VFDX,{94: 3}
A2WI3FLM5PYJT9,"{201: 5, 16472: 5, 121700: 3, 121717: 5, 189263: 5, 279460: 4, 317204: 5, 323871: 4, 361436: 5, 403455: 5, 415234: 5, 419234: 4}"
A2ZVNM8J2Q4HQT,"{2: 3, 21415: 4, 27035: 4, 30538: 4, 37648: 4, 66229: 5, 67900: 3, 82110: 5, 96157: 5, 110644: 5, 129029: 4, 131251: 5, 131019: 5, 187032: 4, 196506: 5, 210204: 2, 228394: 5, 256446: 5, 286323: 5, 307233: 5, 321234: 2, 323518: 5, 325804: 5, 339987: 4, 368791: 5, 377129: 5, 407831: 5, 417033: 5, 447630: 5}"
AQ0GOR2NKHGGE,{2: 2}
A2UF6IIYLXWRQE,{2: 3}
A3KCK2QDOMKFZ7,{2: 5}
A32YAXL3O24T5Q,"{2: 5, 356116: 5}"
A3CMO6EORUNEYQ,"{2: 5, 35340: 5, 272640: 5, 300172: 2, 304888: 5, 344793: 4, 363177: 2, 421469: 5, 423752: 4}"
A1JUPBMZVV0HDO,{2: 4}
A11N5KYBZ21F1F,{2: 5}
A3DQWFWINN3V5A,"{2: 5, 3123: 3, 28164: 4, 30612: 5, 30589: 4, 33138: 3, 60750: 4, 66320: 4, 70730: 5, 78392: 5, 87072: 4, 93765: 5, 98708: 3, 104549: 5, 109436: 4, 110558: 3, 124234: 5, 128861: 5, 133325: 5, 138009: 5, 138013: 5, 154972: 5, 154336: 5, 156546: 5, 172715: 5, 173001: 3, 192346: 2, 193863: 3, 207734: 2, 214845: 3, 217110: 4, 221856: 4, 242824: 5, 261119: 5, 263993: 5, 265540: 5, 272477: 5, 307183: 2, 308089: 5, 309870: 4, 353831: 3, 360834: 5, 365493: 4, 371283: 5, 370592: 4, 396195: 4, 395934: 5, 400664: 4, 403257: 5, 410000: 2, 412415: 5, 433728: 4}"
A3EZ1ASVAY4J9I,"{2: 5, 70298: 5, 82240: 4}"
A2QJN0MOI06C6P,{1213: 1}
A12LGTRO6MO87T,"{11: 4, 277036: 4}"
A3ASZMTEHBEL9Z,"{11: 4, 189748: 5, 442868: 4}"
A3LWHOLBP06K55,"{1720: 4, 170766: 5, 179152: 3, 179897: 5, 185562: 3, 227236: 5, 242392: 2, 269954: 3, 274610: 4, 428691: 5, 459288: 5}"
AUYXVI79B0L6Q,"{1741: 4, 9518: 5, 51731: 5, 94226: 5, 135671: 2, 157550: 5, 265547: 4, 314430: 5}"
A2F6JB05GNXHSJ,{669: 5}
A2JV0V7R8B0658,"{117: 5, 11872: 3, 22807: 1, 28216: 5, 145017: 1, 163578: 5, 212536: 1, 268222: 1, 360819: 5, 360852: 1, 419580: 5, 445083: 5}"
A1GXT1ET0HUQDB,"{46: 5, 75452: 5, 207755: 5, 228612: 5, 231165: 1, 254196: 5, 456725: 5}"
A2Q6MBFZF9ZN1D,"{46: 4, 235902: 5, 318886: 4}"
A104YAKHAH4NY9,{384: 1}
A3IOTT0G1358D4,{1668: 3}
A36E8QBUFHZQF3,"{430: 4, 35739: 5, 51482: 1, 91473: 5, 172853: 5, 177957: 4, 193989: 4, 199003: 5, 247364: 2, 290938: 5, 346233: 5, 358670: 4, 368007: 5, 420331: 4, 431787: 5}"
A11ATL9U1DO1MU,"{489: 3, 49284: 5, 258725: 5, 288634: 2, 349643: 5, 373104: 1, 454368: 5}"
AEXBAM4P8EJTL,"{152: 3, 447387: 2}"
A14VQIYQ9AE59H,"{175: 2, 154256: 5, 184741: 5}"
AIS6Y7ZLPM243,"{175: 5, 9397: 4, 44541: 5, 59177: 5, 91469: 4, 103127: 5, 126417: 5, 175137: 5, 191635: 5, 203126: 5, 283969: 5, 290955: 4, 309525: 5, 386634: 5}"
A2A0GEYH0YYSD0,{111: 1}
