"","B00002R108","B000035Y6D","B00003OTI3","B00004U4RF","B00004U62A","B00004Y57G","B00005BISH","B00005MA97","B00006IJJG","B000093NQG","B00019AZBO","B0002IBEFA","B0006GBCZU","B0007WOX4A","B000E2D3LC","B000FQBPDU","B000HX1P72","B000I5KW32","B000M17AVO","B000SQ5LPU","B000WCQX2U","B00140R0XK","B0016BVY8O","B001AZFSGK","B001AZFSEC","B001C6GVI6","B001CXYMFS","B001K7HV3Q","B00242KDH2","B0029LJIFG","B002ASAGTA","B002BRZ9G0","B002BS47YE","B002BSC54I","B002BU0DPE","B002C7RBFQ","B002ELCUUG","B002I092MM","B002I08U20","B002I0H1DY","B002I0JAJ2","B002I0J82G","B002I0K3M0","B002RWJQ5O","B002V14VOC","B0030T1UIY","B00332F1VA","B0037LTTRO","B003B3V0MA","B003ICGL7I","B003JVKHEQ","B003O3EFY2","B003OPX802","B003V63V1U","B003WUZM4E","B00432O4VM","B0045ZB66I","B0047THYWC","B004FS8LYK","B004FYEZMQ","B004JMQLV2","B004RMK57U","B004YWSIOK","B0050SWS8O","B0050SVH18","B0050SZ0JI","B0050SZD18","B0050SYAQ2","B0050SZ836","B0053B5RGI","B0053BCMAC","B005C2D2H4","B005EQE0YM","B005TMG0IU","B006JEE05W","B006P5RW3M","B006WQR3OM","B007FXFUFA","B007SRM5U6","B007XIJADU","B007XVTR3K","B007XVTR5S","B007XXEG5C","B007XYBUBE","B0088MVPRY","B008D7F0UC","B008E6ZXA4","B008OQTUKS","B0098PLPOI","B00A2Z50KI","B00B29S1JK","B00B67ZTUW","B00BAWXD88","B00BBF2TO8","B00BMFIXOW","B00CMQTVUA","B00D7NQP9M","B00F3FVLWI","B00G0OYHCW","B00GOOSTFE","B00GSR47F8"
"ATQU5FLK95ZDZ",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AYN3DEOX88S7I",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A12F0GXX00TUO9",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1DESHH2QU1FV4",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2N4P35FVAGYAL",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1F1Y66CV2UMSC",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A8TOPIIVU7W1T",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A30OIZ12OGKX15",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2U1HC37G5CEQ6",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1JAICBAZ3YHF1",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
