,User,Item,Rating
3,A1DESHH2QU1FV4,B000035Y6D,5
6,A8TOPIIVU7W1T,B000035Y6D,5
7,A30OIZ12OGKX15,B000035Y6D,5
10,AMGVWVLJU4B99,B000035Y6D,4
12,APD2EUMNVM4EO,B000035Y6D,4
18,AZFIIW97MXGVR,B00003OTI3,3
21,A27D3F4MGHKN5V,B00004U4RF,5
26,A18NQZS6ETRFKX,B00004Y57G,5
28,ARETNQQC8W3IU,B00004Y57G,5
36,A2WV9I03JG1DFD,B00004Y57G,5
37,A2UTM01M30GICT,B00004Y57G,5
40,A3BORQ8W6SWVDF,B00004Y57G,5
43,AO9PQQ3KM2Y8T,B00004Y57G,5
46,A370Z6I5GBWU44,B00005BISH,4
54,A22PBDF7OQ99E4,B00005MA97,5
55,A289NRXIUI2KOL,B00005MA97,5
64,A3OUSPVVF7FHWN,B00019AZBO,4
65,A2RF0YBZ43IWEF,B00019AZBO,4
67,A2HMVBU504ZCF4,B00019AZBO,4
69,A3OTHWG8LLCLMU,B00019AZBO,5
71,A3EPCX4M6IKD85,B00019AZBO,5
74,A27Z9FV4D0EYHT,B0002IBEFA,5
75,A3JZVYYPT537G0,B0006GBCZU,5
79,A2Q1GDU4W1CXA7,B0006GBCZU,1
81,A24PV6WH2ZNW4N,B0006GBCZU,5
87,A3M9S1IRW6ZV8Y,B0006GBCZU,4
91,A1BB4W07LI1GIT,B0006GBCZU,5
94,A1Q0Q7CZMLYRCE,B000E2D3LC,5
98,A3AIPY438KNXUS,B000E2D3LC,4
99,A2RTEM8DEXTU00,B000E2D3LC,2
110,A3HORVSI2I23YR,B000FQBPDU,4
122,A3TZ5LSGBNEQUQ,B000HX1P72,4
125,AUHQWQYMF5JID,B000M17AVO,2
131,AEZJTA4KDIWY8,B000M17AVO,4
140,A12WJNGBYADQUS,B000M17AVO,2
141,A1Q42UHPQ6697Z,B000M17AVO,4
146,A3JBVKDALICNNN,B000M17AVO,4
147,AX5O7AJMA503I,B000M17AVO,5
164,A2BQYX3VAC63X7,B00140R0XK,4
168,A2K4RT3JXF8WJ6,B0016BVY8O,2
169,A1K0VY2ZJFIDOB,B0016BVY8O,5
175,AJXODTEDE02LW,B001C6GVI6,5
180,A16B8VOSTW7TVB,B001C6GVI6,5
187,A12FZX32LABFYZ,B001C6GVI6,5
188,A15N6OWPKYBWLD,B001C6GVI6,5
195,A1FR25JAT7MDWE,B001CXYMFS,5
196,AU6ET22C0LUZW,B001CXYMFS,4
197,A3TMKXCYIF49XA,B001CXYMFS,5
211,A8P2XZFSXMAKB,B001CXYMFS,5
216,A3BTBIV6N9BZFR,B001CXYMFS,4
224,A27R3QXYO6J2A1,B001K7HV3Q,1
229,A36ULDD46DYUOZ,B001K7HV3Q,5
237,A1EPQH2I9AU02F,B001K7HV3Q,4
242,AXYZ1BOCO7UXE,B001K7HV3Q,5
243,A8R4CLFEV2WS7,B001K7HV3Q,3
259,A24A80HS2T7MS4,B001K7HV3Q,4
260,A2A1PGSEIUNCRI,B001K7HV3Q,5
263,AUJ6BNV9V8RHE,B001K7HV3Q,5
268,ADVY89SC87XVV,B0029LJIFG,5
271,A2ABRS1NY9FAE4,B0029LJIFG,5
272,A2QY0WD2JLWUKS,B0029LJIFG,4
273,AOUSC65F686NB,B0029LJIFG,5
278,AMVJKW7Z9JXNY,B0029LJIFG,1
280,AIZS7SM0PTT2B,B0029LJIFG,5
294,A2OOR605L7T9EB,B0029LJIFG,5
295,AOJW1NEG3A13Y,B0029LJIFG,1
299,AWN8Q7FYS4G09,B0029LJIFG,5
300,A30KNYK8TKVYME,B0029LJIFG,5
307,A1PBJI0UM664DN,B0029LJIFG,5
309,A1UF7VX6WK4IAX,B0029LJIFG,5
314,A1J9NIOVQZ6NDQ,B0029LJIFG,5
317,A26X85BCG29X6T,B0029LJIFG,5
328,A3SDGRDVZZFUZK,B0029LJIFG,5
336,A3R1PY4V3CQT20,B0029LJIFG,5
343,A10E37WON4IR1F,B0029LJIFG,5
345,A58437AUQICZF,B0029LJIFG,5
347,AMI1QE3P20XX3,B0029LJIFG,5
348,A2LUVLUDGLL63W,B0029LJIFG,5
353,A36MDL9RQGO7EN,B0029LJIFG,5
354,A2VO7ILBN0HGVM,B0029LJIFG,5
362,A1YRL8LO8PHBEV,B0029LJIFG,5
367,A23ULLQK2W38CZ,B0029LJIFG,5
368,A2OERI2FWZ8L3V,B0029LJIFG,5
372,A1Q62S1E5H3Q2A,B0029LJIFG,5
373,AYFE73SF4HM25,B0029LJIFG,5
374,A220KSL46PLJD,B0029LJIFG,5
375,A3A8W1021BQD2H,B0029LJIFG,5
376,A23NAOS45G0W7R,B0029LJIFG,5
381,A185O1MX1RP964,B0029LJIFG,5
383,A1Q42UHPQ6697Z,B0029LJIFG,5
394,ANOBHAJ6QT2CC,B0029LJIFG,5
406,AXM1FCV6918PZ,B0029LJIFG,5
408,A2TFY3UUUCU11R,B0029LJIFG,5
413,A3H71LWD4YBGZ1,B0029LJIFG,5
420,A3EXIM9H3PLDX9,B0029LJIFG,5
428,A1EFC98ABT0GJS,B0029LJIFG,5
432,A3UKLX2A9T589C,B0029LJIFG,5
435,ADHQKNPEHLE17,B0029LJIFG,5
436,A2UGK9B2HNMMMV,B0029LJIFG,5
440,A13V6DN4QIL4EU,B0029LJIFG,3
448,A1XWZI706IR3PY,B002BRZ9G0,5
449,A1TUI07W2GO1HV,B002BRZ9G0,5
450,A2ITEFSXGHDI1Q,B002BRZ9G0,1
460,AJ1XG1BK7JK04,B002BRZ9G0,4
464,AR53JNS62X44W,B002BRZ9G0,5
468,A2J64Y5R59ME88,B002BRZ9G0,1
475,A8R4CLFEV2WS7,B002BRZ9G0,5
488,A1800JFPSFGBQJ,B002BRZ9G0,5
492,A188ZCR1M5BOLQ,B002BRZ9G0,5
498,A3KMHTKIEC9N0A,B002BRZ9G0,5
499,A2Z5PIEK3QM3EW,B002BRZ9G0,5
501,A1D534E32SUF6O,B002BRZ9G0,5
505,A1PG5UY0TU1SKO,B002BRZ9G0,5
506,A3F34JJIP2BSLM,B002BRZ9G0,5
511,A3QD4WOJXX30A8,B002BS47YE,4
514,A2ZJK585QIQBHC,B002BS47YE,4
520,A1XJYVTUSZHM5J,B002BS47YE,4
521,A135NMO5UONCCE,B002BS47YE,3
523,A1YQ7AYRHQIWTF,B002BS47YE,5
524,AXTSIREG6PYVF,B002BS47YE,5
527,A3HILAPGW4A8PB,B002BS47YE,4
