,asin,category,reviewerID,overall
6094,B00002R108,More Systems,ATQU5FLK95ZDZ,5.0
10801,B000035Y6D,Nintendo,AYN3DEOX88S7I,5.0
10804,B000035Y6D,Nintendo,A12F0GXX00TUO9,3.0
10819,B000035Y6D,Nintendo,A1DESHH2QU1FV4,5.0
10825,B000035Y6D,Nintendo,A2N4P35FVAGYAL,5.0
10840,B000035Y6D,Nintendo,A1F1Y66CV2UMSC,4.0
10848,B000035Y6D,Nintendo,A8TOPIIVU7W1T,5.0
10866,B000035Y6D,Nintendo,A30OIZ12OGKX15,5.0
10870,B000035Y6D,Nintendo,A2U1HC37G5CEQ6,5.0
10884,B000035Y6D,Nintendo,A1JAICBAZ3YHF1,5.0
10897,B000035Y6D,Nintendo,AMGVWVLJU4B99,4.0
10911,B000035Y6D,Nintendo,A1BOGEQ3FLZDKY,5.0
10923,B000035Y6D,Nintendo,APD2EUMNVM4EO,4.0
10927,B000035Y6D,Nintendo,A2AHFMRKVNC3S4,5.0
10930,B000035Y6D,Nintendo,A1PD1SZE97IYN,5.0
11601,B00003OTI3,multi_support,A3AVJ9W2VK15YA,5.0
11603,B00003OTI3,multi_support,A21YQPYQ9EM91H,4.0
11605,B00003OTI3,multi_support,A20JEY9E8CPOTR,5.0
11608,B00003OTI3,multi_support,AZFIIW97MXGVR,3.0
11612,B00003OTI3,multi_support,AXX8X0O61EGPW,5.0
11615,B00003OTI3,multi_support,A2WTO0ST2SUUY9,2.0
15096,B00004U4RF,More Systems,A27D3F4MGHKN5V,5.0
15242,B00004U62A,PlayStation,A2HFZUVRPXFJWF,5.0
15251,B00004U62A,PlayStation,A1LJ6MIXVEHPMH,5.0
16169,B00004Y57G,More Systems,A23ZUK1J474V80,5.0
16170,B00004Y57G,More Systems,AKTFVK1F0UQY5,5.0
16179,B00004Y57G,More Systems,A18NQZS6ETRFKX,5.0
16182,B00004Y57G,More Systems,A2AETSBFFR5HS7,5.0
16194,B00004Y57G,More Systems,ARETNQQC8W3IU,5.0
16197,B00004Y57G,More Systems,AZYU8M791SIFC,5.0
16208,B00004Y57G,More Systems,A2MYU37X2I8L7I,5.0
16209,B00004Y57G,More Systems,A2RPDLIOA0IK93,1.0
16216,B00004Y57G,More Systems,A1BLEP8EBACXKC,5.0
16230,B00004Y57G,More Systems,A2SRLNEJFY0KH3,4.0
16234,B00004Y57G,More Systems,A175K2MLFLJWWO,5.0
16236,B00004Y57G,More Systems,A36UVCB0F11P5X,4.0
16243,B00004Y57G,More Systems,A2WV9I03JG1DFD,5.0
16247,B00004Y57G,More Systems,A2UTM01M30GICT,5.0
16265,B00004Y57G,More Systems,A1O6VVFHHFV5VY,5.0
16279,B00004Y57G,More Systems,A20CNK7V4A2NER,5.0
16281,B00004Y57G,More Systems,A3BORQ8W6SWVDF,5.0
16305,B00004Y57G,More Systems,A2KP4I6GXJN0P8,5.0
16308,B00004Y57G,More Systems,A1LO4YSQOQ7TZQ,4.0
16310,B00004Y57G,More Systems,AO9PQQ3KM2Y8T,5.0
16316,B00004Y57G,More Systems,A31P7PKTB5WFXS,5.0
16329,B00004Y57G,More Systems,A2C6MKT9HL2GJH,5.0
18484,B00005BISH,More Systems,A370Z6I5GBWU44,4.0
18485,B00005BISH,More Systems,A32Q36SLF97PGO,5.0
18487,B00005BISH,More Systems,A182ZQKI8M0CWZ,5.0
19299,B00005MA97,More Systems,A2ZP5FGTKIT9MM,4.0
19300,B00005MA97,More Systems,A35W73EQPW3HB3,5.0
19312,B00005MA97,More Systems,AU32ZJ0LGMBSA,5.0
19314,B00005MA97,More Systems,A35XZ9RSUKIJ02,5.0
19315,B00005MA97,More Systems,A22HSBTXF6WLT7,4.0
19320,B00005MA97,More Systems,A22PBDF7OQ99E4,5.0
19327,B00005MA97,More Systems,A289NRXIUI2KOL,5.0
19330,B00005MA97,More Systems,AYB7JFPEL3LSC,5.0
19340,B00005MA97,More Systems,A2ELYW8V8AMHBI,5.0
19341,B00005MA97,More Systems,A91570B9XDDI0,1.0
19350,B00005MA97,More Systems,A2C9TZCSWW0B3K,5.0
19362,B00005MA97,More Systems,A1PLB1ATIKNK17,4.0
26147,B00006IJJG,PlayStation,AKUDXZUFDO9ML,4.0
26149,B00006IJJG,PlayStation,A3KMEUY129LFLH,5.0
29923,B000093NQG,PlayStation,A3OM1G92C2Z4EK,5.0
35522,B00019AZBO,More Systems,A3OUSPVVF7FHWN,4.0
35525,B00019AZBO,More Systems,A2RF0YBZ43IWEF,4.0
35527,B00019AZBO,More Systems,A38JS86CCLBVOY,5.0
35531,B00019AZBO,More Systems,A2HMVBU504ZCF4,4.0
35537,B00019AZBO,More Systems,AOIMVO7OJKNW8,5.0
35538,B00019AZBO,More Systems,A3OTHWG8LLCLMU,5.0
35539,B00019AZBO,More Systems,ADIOL01IILTJ7,5.0
35543,B00019AZBO,More Systems,A3EPCX4M6IKD85,5.0
40116,B0002IBEFA,More Systems,A3J1HCPHRUVFJQ,5.0
40119,B0002IBEFA,More Systems,A2GUP3FTLCYYT2,3.0
40120,B0002IBEFA,More Systems,A27Z9FV4D0EYHT,5.0
43291,B0006GBCZU,More Systems,A3JZVYYPT537G0,5.0
43293,B0006GBCZU,More Systems,AC0EP89N3CVF2,5.0
43310,B0006GBCZU,More Systems,A2S17QZKM5GPBH,4.0
43318,B0006GBCZU,More Systems,A37DMYQVT0GZLD,5.0
43340,B0006GBCZU,More Systems,A2Q1GDU4W1CXA7,1.0
43355,B0006GBCZU,More Systems,A1Q2HOKUDHW4QG,5.0
43359,B0006GBCZU,More Systems,A24PV6WH2ZNW4N,5.0
43373,B0006GBCZU,More Systems,A6MD2X7CHCIM2,5.0
43384,B0006GBCZU,More Systems,A35BKVNMWXQJER,5.0
43388,B0006GBCZU,More Systems,AH56RWPKFHA8L,5.0
43410,B0006GBCZU,More Systems,A1PSOVIQK992SV,4.0
43412,B0006GBCZU,More Systems,A3SASR2U6F3INE,5.0
43415,B0006GBCZU,More Systems,A3M9S1IRW6ZV8Y,4.0
43443,B0006GBCZU,More Systems,A280923QR5PCHL,4.0
43454,B0006GBCZU,More Systems,A2HPX9RSN2STAL,2.0
43457,B0006GBCZU,More Systems,A10651BV3W39GM,5.0
43469,B0006GBCZU,More Systems,A1BB4W07LI1GIT,5.0
43470,B0006GBCZU,More Systems,A1VPSXPP285V75,5.0
45473,B0007WOX4A,multi_support,A279GQG6MUIOJF,5.0
59685,B000E2D3LC,PC,A1Q0Q7CZMLYRCE,5.0
59698,B000E2D3LC,PC,A1QGW7ZCY0TO5V,5.0
59722,B000E2D3LC,PC,A3F10TTN54PLF9,2.0
59723,B000E2D3LC,PC,A36LT58X5GZV68,5.0
59726,B000E2D3LC,PC,A3AIPY438KNXUS,4.0
59727,B000E2D3LC,PC,A2RTEM8DEXTU00,2.0
59752,B000E2D3LC,PC,A386OP2O7Z5Y5L,3.0
59796,B000E2D3LC,PC,A1Q2QSS0W29DTM,5.0
59799,B000E2D3LC,PC,AXDREET869SAI,5.0
59810,B000E2D3LC,PC,A1Z1ZW6KYX419,5.0
59828,B000E2D3LC,PC,A10DWGX7ZBM7EQ,5.0
59836,B000E2D3LC,PC,A3EEYH6VD8BJ79,5.0
