User,Item,Rating
ATQU5FLK95ZDZ,B00002R108,5
AYN3DEOX88S7I,B000035Y6D,5
A12F0GXX00TUO9,B000035Y6D,3
A1DESHH2QU1FV4,B000035Y6D,5
A2N4P35FVAGYAL,B000035Y6D,5
A1F1Y66CV2UMSC,B000035Y6D,4
A8TOPIIVU7W1T,B000035Y6D,5
A30OIZ12OGKX15,B000035Y6D,5
A2U1HC37G5CEQ6,B000035Y6D,5
A1JAICBAZ3YHF1,B000035Y6D,5
AMGVWVLJU4B99,B000035Y6D,4
A1BOGEQ3FLZDKY,B000035Y6D,5
APD2EUMNVM4EO,B000035Y6D,4
A2AHFMRKVNC3S4,B000035Y6D,5
A1PD1SZE97IYN,B000035Y6D,5
A3AVJ9W2VK15YA,B00003OTI3,5
A21YQPYQ9EM91H,B00003OTI3,4
A20JEY9E8CPOTR,B00003OTI3,5
AZFIIW97MXGVR,B00003OTI3,3
AXX8X0O61EGPW,B00003OTI3,5
A2WTO0ST2SUUY9,B00003OTI3,2
A27D3F4MGHKN5V,B00004U4RF,5
A2HFZUVRPXFJWF,B00004U62A,5
A1LJ6MIXVEHPMH,B00004U62A,5
A23ZUK1J474V80,B00004Y57G,5
AKTFVK1F0UQY5,B00004Y57G,5
A18NQZS6ETRFKX,B00004Y57G,5
A2AETSBFFR5HS7,B00004Y57G,5
ARETNQQC8W3IU,B00004Y57G,5
AZYU8M791SIFC,B00004Y57G,5
A2MYU37X2I8L7I,B00004Y57G,5
A2RPDLIOA0IK93,B00004Y57G,1
A1BLEP8EBACXKC,B00004Y57G,5
A2SRLNEJFY0KH3,B00004Y57G,4
A175K2MLFLJWWO,B00004Y57G,5
A36UVCB0F11P5X,B00004Y57G,4
A2WV9I03JG1DFD,B00004Y57G,5
A2UTM01M30GICT,B00004Y57G,5
A1O6VVFHHFV5VY,B00004Y57G,5
A20CNK7V4A2NER,B00004Y57G,5
A3BORQ8W6SWVDF,B00004Y57G,5
A2KP4I6GXJN0P8,B00004Y57G,5
A1LO4YSQOQ7TZQ,B00004Y57G,4
AO9PQQ3KM2Y8T,B00004Y57G,5
A31P7PKTB5WFXS,B00004Y57G,5
A2C6MKT9HL2GJH,B00004Y57G,5
A370Z6I5GBWU44,B00005BISH,4
A32Q36SLF97PGO,B00005BISH,5
A182ZQKI8M0CWZ,B00005BISH,5
A2ZP5FGTKIT9MM,B00005MA97,4
A35W73EQPW3HB3,B00005MA97,5
AU32ZJ0LGMBSA,B00005MA97,5
A35XZ9RSUKIJ02,B00005MA97,5
A22HSBTXF6WLT7,B00005MA97,4
A22PBDF7OQ99E4,B00005MA97,5
A289NRXIUI2KOL,B00005MA97,5
AYB7JFPEL3LSC,B00005MA97,5
A2ELYW8V8AMHBI,B00005MA97,5
A91570B9XDDI0,B00005MA97,1
A2C9TZCSWW0B3K,B00005MA97,5
A1PLB1ATIKNK17,B00005MA97,4
AKUDXZUFDO9ML,B00006IJJG,4
A3KMEUY129LFLH,B00006IJJG,5
A3OM1G92C2Z4EK,B000093NQG,5
A3OUSPVVF7FHWN,B00019AZBO,4
A2RF0YBZ43IWEF,B00019AZBO,4
A38JS86CCLBVOY,B00019AZBO,5
A2HMVBU504ZCF4,B00019AZBO,4
AOIMVO7OJKNW8,B00019AZBO,5
A3OTHWG8LLCLMU,B00019AZBO,5
ADIOL01IILTJ7,B00019AZBO,5
A3EPCX4M6IKD85,B00019AZBO,5
A3J1HCPHRUVFJQ,B0002IBEFA,5
A2GUP3FTLCYYT2,B0002IBEFA,3
A27Z9FV4D0EYHT,B0002IBEFA,5
A3JZVYYPT537G0,B0006GBCZU,5
AC0EP89N3CVF2,B0006GBCZU,5
A2S17QZKM5GPBH,B0006GBCZU,4
A37DMYQVT0GZLD,B0006GBCZU,5
A2Q1GDU4W1CXA7,B0006GBCZU,1
A1Q2HOKUDHW4QG,B0006GBCZU,5
A24PV6WH2ZNW4N,B0006GBCZU,5
A6MD2X7CHCIM2,B0006GBCZU,5
A35BKVNMWXQJER,B0006GBCZU,5
AH56RWPKFHA8L,B0006GBCZU,5
A1PSOVIQK992SV,B0006GBCZU,4
A3SASR2U6F3INE,B0006GBCZU,5
A3M9S1IRW6ZV8Y,B0006GBCZU,4
A280923QR5PCHL,B0006GBCZU,4
A2HPX9RSN2STAL,B0006GBCZU,2
A10651BV3W39GM,B0006GBCZU,5
A1BB4W07LI1GIT,B0006GBCZU,5
A1VPSXPP285V75,B0006GBCZU,5
A279GQG6MUIOJF,B0007WOX4A,5
A1Q0Q7CZMLYRCE,B000E2D3LC,5
A1QGW7ZCY0TO5V,B000E2D3LC,5
A3F10TTN54PLF9,B000E2D3LC,2
A36LT58X5GZV68,B000E2D3LC,5
A3AIPY438KNXUS,B000E2D3LC,4
A2RTEM8DEXTU00,B000E2D3LC,2
A386OP2O7Z5Y5L,B000E2D3LC,3
A1Q2QSS0W29DTM,B000E2D3LC,5
AXDREET869SAI,B000E2D3LC,5
A1Z1ZW6KYX419,B000E2D3LC,5
A10DWGX7ZBM7EQ,B000E2D3LC,5
A3EEYH6VD8BJ79,B000E2D3LC,5
A2AL0CNORVTLHS,B000E2D3LC,5
A20QMISU4S0XRC,B000FQBPDU,5
A394DOIBX2VTUO,B000FQBPDU,5
A36UKFV79879MD,B000FQBPDU,5
A3HORVSI2I23YR,B000FQBPDU,4
A1DDG2R80UWTPI,B000FQBPDU,5
A1H6IAYYAXTCE4,B000FQBPDU,5
A2HC18LRW8773H,B000FQBPDU,3
A387VRSI2OET79,B000HX1P72,4
A24MAJ6OUIP56Q,B000HX1P72,5
A3F18SDKBDF2WR,B000HX1P72,3
A2JM83X18KJOYC,B000HX1P72,5
A1ZXMMYRVPI1KC,B000HX1P72,4
A205C7VCSDVARI,B000HX1P72,5
A1TKDHV7V1QEI7,B000HX1P72,5
A376HQMW66628Q,B000HX1P72,5
A3TZ5LSGBNEQUQ,B000HX1P72,4
A3VU9EC95GZ418,B000HX1P72,5
